date,new_cases,new_cases_smoothed,total_cases,new_deaths,new_deaths_smoothed,total_deaths,population
2020-02-21,0,0.0,3,0,0.0,0,59037472
2020-02-22,0,0.0,3,0,0.0,0,59037472
2020-02-23,76,10.86,79,2,0.29,2,59037472
2020-02-24,0,10.86,79,0,0.29,2,59037472
2020-02-25,0,10.86,79,0,0.29,2,59037472
2020-02-26,0,10.86,79,0,0.29,2,59037472
2020-02-27,0,10.86,79,0,0.29,2,59037472
2020-02-28,0,10.86,79,0,0.29,2,59037472
2020-02-29,0,10.86,79,0,0.29,2,59037472
2020-03-01,1049,149.86,1128,27,3.86,29,59037472
2020-03-02,0,149.86,1128,0,3.86,29,59037472
2020-03-03,0,149.86,1128,0,3.86,29,59037472
2020-03-04,0,149.86,1128,0,3.86,29,59037472
2020-03-05,0,149.86,1128,0,3.86,29,59037472
2020-03-06,0,149.86,1128,0,3.86,29,59037472
2020-03-07,0,149.86,1128,0,3.86,29,59037472
2020-03-08,4755,679.29,5883,204,29.14,233,59037472
2020-03-09,0,679.29,5883,0,29.14,233,59037472
2020-03-10,0,679.29,5883,0,29.14,233,59037472
2020-03-11,0,679.29,5883,0,29.14,233,59037472
2020-03-12,0,679.29,5883,0,29.14,233,59037472
2020-03-13,0,679.29,5883,0,29.14,233,59037472
2020-03-14,0,679.29,5883,0,29.14,233,59037472
2020-03-15,15274,2182.0,21157,1208,172.57,1441,59037472
2020-03-16,0,2182.0,21157,0,172.57,1441,59037472
2020-03-17,0,2182.0,21157,0,172.57,1441,59037472
2020-03-18,0,2182.0,21157,0,172.57,1441,59037472
2020-03-19,0,2182.0,21157,0,172.57,1441,59037472
2020-03-20,0,2182.0,21157,0,172.57,1441,59037472
2020-03-21,0,2182.0,21157,0,172.57,1441,59037472
2020-03-22,32421,4631.57,53578,3384,483.43,4825,59037472
2020-03-23,0,4631.57,53578,0,483.43,4825,59037472
2020-03-24,0,4631.57,53578,0,483.43,4825,59037472
2020-03-25,0,4631.57,53578,0,483.43,4825,59037472
2020-03-26,0,4631.57,53578,0,483.43,4825,59037472
2020-03-27,0,4631.57,53578,0,483.43,4825,59037472
2020-03-28,0,4631.57,53578,0,483.43,4825,59037472
2020-03-29,38894,5556.29,92472,5198,742.57,10023,59037472
2020-03-30,0,5556.29,92472,0,742.57,10023,59037472
2020-03-31,0,5556.29,92472,0,742.57,10023,59037472
2020-04-01,0,5556.29,92472,0,742.57,10023,59037472
2020-04-02,0,5556.29,92472,0,742.57,10023,59037472
2020-04-03,0,5556.29,92472,0,742.57,10023,59037472
2020-04-04,0,5556.29,92472,0,742.57,10023,59037472
2020-04-05,32160,4594.29,124632,5339,762.71,15362,59037472
2020-04-06,0,4594.29,124632,0,762.71,15362,59037472
2020-04-07,0,4594.29,124632,0,762.71,15362,59037472
2020-04-08,0,4594.29,124632,0,762.71,15362,59037472
2020-04-09,0,4594.29,124632,0,762.71,15362,59037472
2020-04-10,0,4594.29,124632,0,762.71,15362,59037472
2020-04-11,0,4594.29,124632,0,762.71,15362,59037472
2020-04-12,27639,3948.43,152271,4106,586.57,19468,59037472
2020-04-13,0,3948.43,152271,0,586.57,19468,59037472
2020-04-14,0,3948.43,152271,0,586.57,19468,59037472
2020-04-15,0,3948.43,152271,0,586.57,19468,59037472
2020-04-16,0,3948.43,152271,0,586.57,19468,59037472
2020-04-17,0,3948.43,152271,0,586.57,19468,59037472
2020-04-18,0,3948.43,152271,0,586.57,19468,59037472
2020-04-19,23654,3379.14,175925,3759,537.0,23227,59037472
2020-04-20,0,3379.14,175925,0,537.0,23227,59037472
2020-04-21,0,3379.14,175925,0,537.0,23227,59037472
2020-04-22,0,3379.14,175925,0,537.0,23227,59037472
2020-04-23,0,3379.14,175925,0,537.0,23227,59037472
2020-04-24,0,3379.14,175925,0,537.0,23227,59037472
2020-04-25,0,3379.14,175925,0,537.0,23227,59037472
2020-04-26,19426,2775.14,195351,3157,451.0,26384,59037472
2020-04-27,0,2775.14,195351,0,451.0,26384,59037472
2020-04-28,0,2775.14,195351,0,451.0,26384,59037472
2020-04-29,0,2775.14,195351,0,451.0,26384,59037472
2020-04-30,0,2775.14,195351,0,451.0,26384,59037472
2020-05-01,0,2775.14,195351,0,451.0,26384,59037472
2020-05-02,0,2775.14,195351,0,451.0,26384,59037472
2020-05-03,13977,1996.71,209328,2326,332.29,28710,59037472
2020-05-04,0,1996.71,209328,0,332.29,28710,59037472
2020-05-05,0,1996.71,209328,0,332.29,28710,59037472
2020-05-06,0,1996.71,209328,0,332.29,28710,59037472
2020-05-07,0,1996.71,209328,0,332.29,28710,59037472
2020-05-08,0,1996.71,209328,0,332.29,28710,59037472
2020-05-09,0,1996.71,209328,0,332.29,28710,59037472
2020-05-10,8940,1277.14,218268,1685,240.71,30395,59037472
2020-05-11,0,1277.14,218268,0,240.71,30395,59037472
2020-05-12,0,1277.14,218268,0,240.71,30395,59037472
2020-05-13,0,1277.14,218268,0,240.71,30395,59037472
2020-05-14,0,1277.14,218268,0,240.71,30395,59037472
2020-05-15,0,1277.14,218268,0,240.71,30395,59037472
2020-05-16,0,1277.14,218268,0,240.71,30395,59037472
2020-05-17,6492,927.43,224760,1368,195.43,31763,59037472
2020-05-18,0,927.43,224760,0,195.43,31763,59037472
