date,new_cases,new_cases_smoothed,total_cases,new_deaths,new_deaths_smoothed,total_deaths,population
2020-02-18,0,0.43,30,0,0.0,0,51815808
2020-02-19,0,0.43,30,0,0.0,0,51815808
2020-02-20,0,0.43,30,0,0.0,0,51815808
2020-02-21,0,0.43,30,0,0.0,0,51815808
2020-02-22,0,0.43,30,0,0.0,0,51815808
2020-02-23,526,75.14,556,3,0.43,3,51815808
2020-02-24,0,75.14,556,0,0.43,3,51815808
2020-02-25,0,75.14,556,0,0.43,3,51815808
2020-02-26,0,75.14,556,0,0.43,3,51815808
2020-02-27,0,75.14,556,0,0.43,3,51815808
2020-02-28,0,75.14,556,0,0.43,3,51815808
2020-02-29,0,75.14,556,0,0.43,3,51815808
2020-03-01,2970,424.29,3526,14,2.0,17,51815808
2020-03-02,0,424.29,3526,0,2.0,17,51815808
2020-03-03,0,424.29,3526,0,2.0,17,51815808
2020-03-04,0,424.29,3526,0,2.0,17,51815808
2020-03-05,0,424.29,3526,0,2.0,17,51815808
2020-03-06,0,424.29,3526,0,2.0,17,51815808
2020-03-07,0,424.29,3526,0,2.0,17,51815808
2020-03-08,3608,515.43,7134,33,4.71,50,51815808
2020-03-09,0,515.43,7134,0,4.71,50,51815808
2020-03-10,0,515.43,7134,0,4.71,50,51815808
2020-03-11,0,515.43,7134,0,4.71,50,51815808
2020-03-12,0,515.43,7134,0,4.71,50,51815808
2020-03-13,0,515.43,7134,0,4.71,50,51815808
2020-03-14,0,515.43,7134,0,4.71,50,51815808
2020-03-15,1028,146.86,8162,25,3.57,75,51815808
2020-03-16,0,146.86,8162,0,3.57,75,51815808
2020-03-17,0,146.86,8162,0,3.57,75,51815808
2020-03-18,0,146.86,8162,0,3.57,75,51815808
2020-03-19,0,146.86,8162,0,3.57,75,51815808
2020-03-20,0,146.86,8162,0,3.57,75,51815808
2020-03-21,0,146.86,8162,0,3.57,75,51815808
2020-03-22,735,105.0,8897,29,4.14,104,51815808
2020-03-23,0,105.0,8897,0,4.14,104,51815808
2020-03-24,0,105.0,8897,0,4.14,104,51815808
2020-03-25,0,105.0,8897,0,4.14,104,51815808
2020-03-26,0,105.0,8897,0,4.14,104,51815808
2020-03-27,0,105.0,8897,0,4.14,104,51815808
2020-03-28,0,105.0,8897,0,4.14,104,51815808
2020-03-29,686,98.0,9583,48,6.86,152,51815808
2020-03-30,0,98.0,9583,0,6.86,152,51815808
2020-03-31,0,98.0,9583,0,6.86,152,51815808
2020-04-01,0,98.0,9583,0,6.86,152,51815808
2020-04-02,0,98.0,9583,0,6.86,152,51815808
2020-04-03,0,98.0,9583,0,6.86,152,51815808
2020-04-04,0,98.0,9583,0,6.86,152,51815808
2020-04-05,654,93.43,10237,31,4.43,183,51815808
2020-04-06,0,93.43,10237,0,4.43,183,51815808
2020-04-07,0,93.43,10237,0,4.43,183,51815808
2020-04-08,0,93.43,10237,0,4.43,183,51815808
2020-04-09,0,93.43,10237,0,4.43,183,51815808
2020-04-10,0,93.43,10237,0,4.43,183,51815808
2020-04-11,0,93.43,10237,0,4.43,183,51815808
2020-04-12,275,39.29,10512,31,4.43,214,51815808
2020-04-13,0,39.29,10512,0,4.43,214,51815808
2020-04-14,0,39.29,10512,0,4.43,214,51815808
2020-04-15,0,39.29,10512,0,4.43,214,51815808
2020-04-16,0,39.29,10512,0,4.43,214,51815808
2020-04-17,0,39.29,10512,0,4.43,214,51815808
2020-04-18,0,39.29,10512,0,4.43,214,51815808
2020-04-19,149,21.29,10661,20,2.86,234,51815808
2020-04-20,0,21.29,10661,0,2.86,234,51815808
2020-04-21,0,21.29,10661,0,2.86,234,51815808
2020-04-22,0,21.29,10661,0,2.86,234,51815808
2020-04-23,0,21.29,10661,0,2.86,234,51815808
2020-04-24,0,21.29,10661,0,2.86,234,51815808
2020-04-25,0,21.29,10661,0,2.86,234,51815808
2020-04-26,67,9.57,10728,8,1.14,242,51815808
2020-04-27,0,9.57,10728,0,1.14,242,51815808
2020-04-28,0,9.57,10728,0,1.14,242,51815808
2020-04-29,0,9.57,10728,0,1.14,242,51815808
2020-04-30,0,9.57,10728,0,1.14,242,51815808
